BillNumber,ChapterNumber,CrossfileBillNumber,SponsorPrimary,Sponsors,Synopsis,Title,Status,CommitteePrimaryOrigin,CommitteeSecondaryOrigin,CommitteePrimaryOpposite,CommitteeSecondaryOpposite,FirstReadingDateHouseOfOrigin,HearingDateTimePrimaryHouseOfOrigin,HearingDateTimeSecondaryHouseOfOrigin,ReportDateHouseOfOrigin,ReportActionHouseOfOrigin,SecondReadingDateHouseOfOrigin,SecondReadingActionHouseOfOrigin,ThirdReadingDateHouseOfOrigin,ThirdReadingActionHouseOfOrigin,FirstReadingDateOppositeHouse,HearingDateTimePrimaryOppositeHouse,HearingDateTimeSecondaryOppositeHouse,ReportDateOppositeHouse,ReportActionOppositeHouse,SecondReadingDateOppositeHouse,SecondReadingActionOppositeHouse,ThirdReadingDateOppositeHouse,ThirdReadingActionOppositeHouse,InteractionBetweenChambers,PassedByMGA,EmergencyBill,ConstitutionalAmendment,BroadSubjects,NarrowSubjects,BillType,BillVersion,Statutes,YearAndSession,StatusCurrentAsOf
HB0001,,SB0002,Delegate Crosby,[{'Name': 'Delegate Crosby'}],"Prohibiting certain public service companies from recovering through rates any costs associated with paying certain employees a bonus unless the employee has a written contract executed by December 31, 2025, or the employee is covered by a valid collective bargaining agreement; prohibiting a certain public service company from recovering through rates any costs associated with a supervisor's annual compensation once the compensation exceeds a certain amount; etc.","Investor-Owned Electric, Gas, and Gas and Electric Companies - Cost Recovery - Limitations",In the House - Hearing 2/03 at 2:00 p.m.,Environment and Transportation,,,,2026-01-14,2026-02-03T14:00:00,,,,,,,,,,,,,,,,,,False,False,False,"[{'Code': 'c5', 'Name': 'Utility Regulation'}]","[{'Code': 'commitco', 'Name': 'Committees and Commissions'}, {'Code': 'contracts', 'Name': 'Contracts -see also- Procurement'}, {'Code': 'salaric', 'Name': 'Salaries and Compensation -see also- Overtime; Reimb. Rates'}, {'Code': 'utilities', 'Name': 'Utilities -see also- Recycl; Refuse; Sewage; Teleph; Water'}, {'Code': 'workle', 'Name': 'Work, Labor, and Employment -see also- JobTrn; Leave; etc.'}]",Pre-Filed,F,,2026 Regular Session,2026-01-20T10:05:07.143
HB0002,,SB0185,Delegate Griffith,[{'Name': 'Delegate Griffith'}],"Increasing, from $15,000 to $20,000, the amount allowed as a subtraction modification under the Maryland income tax for retirement income attributable to an individual's employment as a public safety employee; and applying the Act to all taxable years beginning after December 31, 2025.",Subtraction Modification - Public Safety Retirement Income,In the House - Hearing 1/20 at 1:00 p.m.,Ways and Means,,,,2026-01-14,2026-01-20T13:00:00,,,,,,,,,,,,,,,,,,False,False,False,"[{'Code': 'q3', 'Name': 'Taxes - Income'}]","[{'Code': 'correco', 'Name': 'Correctional Officers'}, {'Code': 'emergems', 'Name': 'Emergency Medical Services -see also- Ambul; RescSqd'}, {'Code': 'emerges', 'Name': 'Emergency Services -see also- Ambul; Emergencies; etc.'}, {'Code': 'exemptions', 'Name': 'Exemptions'}, {'Code': 'firep', 'Name': 'Fire Protection'}, {'Code': 'incomet', 'Name': 'Income Tax'}, {'Code': 'lawe', 'Name': 'Law Enforcement -see also- SRO; Sheriffs; State Police'}, {'Code': 'rescues', 'Name': 'Rescue Squads -see also- Emergency Medical Serv '}, {'Code': 'retirement', 'Name': 'Retirement -see also- Mandatory Retirement'}]",Pre-Filed,F,,2026 Regular Session,2026-01-20T10:05:07.143
HB0003,,SB0212,Delegate Schindler,"[{'Name': 'Delegate Schindler'}, {'Name': 'Delegate Beauchamp'}, {'Name': 'Delegate Miller'}, {'Name': 'Delegate Pasteur'}, {'Name': 'Delegate Ziegler'}, {'Name': 'Delegate Woorman'}]",Exempting financially dependent children of State or local public safety employees who die as a result of or in the course of performance of duties from paying out-of-state or out-of-county tuition at a public institution of higher education in the State.,Higher Education - Nonresident Tuition - Exemption for Dependents of State or Local Public Safety Employees (Maryland Fallen Heroes Tuition Benefits Act),In the House - First Reading Appropriations,Appropriations,,,,2026-01-14,,,,,,,,,,,,,,,,,,,False,False,False,"[{'Code': 'f2', 'Name': 'Higher Education'}]","[{'Code': 'armedfus', 'Name': 'Armed Forces and Uniformed Services'}, {'Code': 'correco', 'Name': 'Correctional Officers'}, {'Code': 'death', 'Name': 'Death -see also- Homicide; Murder; Wrongful Death'}, {'Code': 'dependents', 'Name': 'Dependents -see also- Minors; Vulnerable Adults'}, {'Code': 'firep', 'Name': 'Fire Protection'}, {'Code': 'highere', 'Name': 'Higher Education -see also- Comm Colleges; Med Schools; etc.'}, {'Code': 'higherec', 'Name': 'Higher Education Commission'}, {'Code': 'kinship', 'Name': 'Kinship -see also- Parents and Guardians'}, {'Code': 'lawe', 'Name': 'Law Enforcement -see also- SRO; Sheriffs; State Police'}, {'Code': 'rescues', 'Name': 'Rescue Squads -see also- Emergency Medical Serv '}, {'Code': 'residency', 'Name': 'Residency -see also- Immigrants and Citizenship'}, {'Code': 'rulesr', 'Name': 'Rules and Regulations'}, {'Code': 'safety', 'Name': 'Safety -see also- Occupational Safety'}, {'Code': 'statee', 'Name': 'State Employees'}, {'Code': 'stateuc', 'Name': 'State Universities and Colleges'}, {'Code': 'tuition', 'Name': 'Tuition'}]",Pre-Filed,F,,2026 Regular Session,2026-01-20T10:05:07.143
HB0004,,,Delegate Miller,"[{'Name': 'Delegate Miller'}, {'Name': 'Delegate Morgan, M.'}]","Requiring that a motor vehicle be at least 25 years old in order to be eligible for registration as a historic motor vehicle; and requiring the Motor Vehicle Administration to reinstate, under certain circumstances, the historic motor vehicle registration of a motor vehicle that had its historic vehicle registration suspended or revoked as a result of the change to the definition of ""historic motor vehicle"" in Chapter 604 of 2025.",Vehicle Laws – Historic Motor Vehicles – Minimum Age,In the House - Hearing 2/05 at 1:00 p.m.,Environment and Transportation,,,,2026-01-14,2026-02-05T13:00:00,,,,,,,,,,,,,,,,,,False,False,False,"[{'Code': 'r4', 'Name': 'Vehicle Laws - Licensing and Regulation'}]","[{'Code': 'age', 'Name': 'Age -see also- Age of Maj; Children; Elderly; Inf&Tod.; etc'}, {'Code': 'historm', 'Name': 'Historical Matters -see also- Archives; Monumts; Museum; etc'}, {'Code': 'motorv', 'Name': 'Motor Vehicles -see also- Aband Veh; Ambulances; Buses; etc.'}, {'Code': 'motorva', 'Name': 'Motor Vehicle Administration'}, {'Code': 'motorvreg', 'Name': 'Motor Vehicle Registration'}]",Pre-Filed,F,,2026 Regular Session,2026-01-20T10:05:07.143
HB0005,,,Delegate Fair,"[{'Name': 'Delegate Fair'}, {'Name': 'Delegate Patterson'}]","Establishing the Maryland New Markets Development Program; requiring the Department of Housing and Community Development to administer the Program; authorizing a credit against the State insurance premium receipts tax and certain State insurance retaliatory taxes, fees, charges, and penalties for certain equity investments in certain community development entities; authorizing the Department to recapture a credit under certain circumstances; limiting the credit amounts that may be issued to $18,750,000 for any taxable year; etc.",Community Development - Maryland New Markets Development Program - Establishment,In the House - Hearing 2/12 at 1:00 p.m. (Economic Matters),Economic Matters,Ways and Means,,,2026-01-14,2026-02-12T13:00:00,,,,,,,,,,,,,,,,,,False,False,False,"[{'Code': 'c9', 'Name': 'Housing and Community Development'}, {'Code': 'q7', 'Name': 'Taxes - Miscellaneous'}, {'Code': 'c4', 'Name': 'Insurance - Other than Health'}]","[{'Code': 'applica', 'Name': 'Applicants and Applications'}, {'Code': 'certification', 'Name': 'Certifications'}, {'Code': 'commund', 'Name': 'Community Development'}, {'Code': 'federag', 'Name': 'Federal Government'}, {'Code': 'fees', 'Name': ""Fees -see also- Attys' Fees; Devt Fees & Taxes""}, {'Code': 'housincdd', 'Name': 'Housing and Community Development, Department of'}, {'Code': 'insuraa', 'Name': 'Insurance Administration'}, {'Code': 'insurance', 'Name': 'Insurance -see also- Health Ins; MAIF; Motor Vehicle Ins'}, {'Code': 'investments', 'Name': 'Investments -see also- Securities'}, {'Code': 'lowi', 'Name': 'Low-Income'}, {'Code': 'notices', 'Name': 'Notices'}, {'Code': 'penalts', 'Name': 'Penalties and Sentences -see also- Death Penalty'}, {'Code': 'reports', 'Name': 'Reports'}, {'Code': 'taxc', 'Name': 'Tax Credits'}, {'Code': 'time', 'Name': 'Time'}, {'Code': 'workle', 'Name': 'Work, Labor, and Employment -see also- JobTrn; Leave; etc.'}]",Pre-Filed,F,,2026 Regular Session,2026-01-20T10:05:07.143
HB0006,,,Delegate Kerr,[{'Name': 'Delegate Kerr'}],Requiring the Maryland Higher Education Commission to collect certain data regarding the parental status of students from each public institution of higher education in the State; requiring public institutions of higher education to collect and report certain demographic data from students; and requiring all public institutions of higher education to adopt a certain plan for pregnant and parenting students.,Public Institutions of Higher Education - Pregnant and Parenting Students - Plan and Reporting,In the House - Hearing 1/27 at 1:00 p.m.,Appropriations,,,,2026-01-14,2026-01-27T13:00:00,,,,,,,,,,,,,,,,,,False,False,False,"[{'Code': 'f2', 'Name': 'Higher Education'}]","[{'Code': 'adoption', 'Name': 'Adoption - see also- FamLaw; FosterCare; ParentsGuardians'}, {'Code': 'caregivers', 'Name': 'Caregivers'}, {'Code': 'children', 'Name': 'Children (4-12)'}, {'Code': 'data', 'Name': 'Data -see also- Census; Demographics'}, {'Code': 'demographics', 'Name': 'Demographics -see also- Census; Data'}, {'Code': 'discriminatio', 'Name': 'Discrimination'}, {'Code': 'electrg', 'Name': 'Electronic Government'}, {'Code': 'forms', 'Name': 'Forms'}, {'Code': 'healthi', 'Name': 'Health Insurance -see also- ACA; HMOs; MCOs'}, {'Code': 'highere', 'Name': 'Higher Education -see also- Comm Colleges; Med Schools; etc.'}, {'Code': 'higherec', 'Name': 'Higher Education Commission'}, {'Code': 'medicaa', 'Name': 'Medical Assistance'}, {'Code': 'parentg', 'Name': 'Parents and Guardians'}, {'Code': 'plansp', 'Name': 'Plans and Proposals'}, {'Code': 'pregnancy', 'Name': 'Pregnancy'}, {'Code': 'publicb', 'Name': 'Public Benefits -see also- Housing; MedAsst;  SupplNutrAsstP'}, {'Code': 'reports', 'Name': 'Reports'}, {'Code': 'rulesr', 'Name': 'Rules and Regulations'}, {'Code': 'scholasfa', 'Name': 'Scholarships and Student Financial Aid'}, {'Code': 'stateuc', 'Name': 'State Universities and Colleges'}, {'Code': 'students', 'Name': 'Students'}, {'Code': 'supplenap', 'Name': 'Supplemental Nutrition Assistance Program'}, {'Code': 'surveyp', 'Name': 'Surveys and Polls'}]",Pre-Filed,F,,2026 Regular Session,2026-01-20T10:05:07.143
HB0007,,SB0088,Delegate Guzzone,[{'Name': 'Delegate Guzzone'}],"Authorizing the State Board of Examiners for Audiologists, Hearing Aid Dispensers, Speech-Language Pathologists, and Music Therapists to issue a limited license to practice music therapy; providing the purpose of the limited license is to permit an individual to practice music therapy while completing certain licensing requirements; and allowing a licensee with a limited license to practice music therapy under the supervision of a fully licensed music therapist.","State Board of Examiners for Audiologists, Hearing Aid Dispensers, Speech-Language Pathologists, and Music Therapists - Authority to Issue Limited Licenses to Practice Music Therapy",In the House - First Reading Health,Health,,,,2026-01-14,,,,,,,,,,,,,,,,,,,False,False,False,"[{'Code': 'j2', 'Name': 'Health Occupations'}]","[{'Code': 'adminia', 'Name': 'Administrative Agencies'}, {'Code': 'applica', 'Name': 'Applicants and Applications'}, {'Code': 'artmca', 'Name': 'Art, Music, and Cultural Affairs -see also- EthAff; Mus; etc'}, {'Code': 'audiolsp', 'Name': 'Audiologists and Speech Pathologists'}, {'Code': 'counset', 'Name': 'Counselors and Therapists'}, {'Code': 'fees', 'Name': ""Fees -see also- Attys' Fees; Devt Fees & Taxes""}, {'Code': 'forms', 'Name': 'Forms'}, {'Code': 'healtho', 'Name': 'Health Occupations -see also- (specific health occupations)'}, {'Code': 'licenscb', 'Name': 'License Commissioners, Boards of'}, {'Code': 'licenses', 'Name': 'Licenses -see also- AB Lic; Certifications; DrLic; Permits'}, {'Code': 'time', 'Name': 'Time'}]",Pre-Filed,F,,2026 Regular Session,2026-01-20T10:05:07.143
HB0008,,,Delegate Stewart,[{'Name': 'Delegate Stewart'}],Establishing the Dangerous Driver Abatement Program; establishing the purpose of the Program is to reduce motor vehicle-related deaths by requiring repeat offenders to complete a driver accountability and safety course or be subject to sanctions; requiring the Motor Vehicle Administration to administer the Program and provide a certain notice to repeat offenders; requiring a repeat offender to successfully complete a certain course within 90 days after receiving the notice; etc.,Vehicle Laws - Dangerous Driver Abatement Program - Establishment (Dangerous Driver Accountability Act),In the House - Hearing 2/05 at 1:00 p.m.,Environment and Transportation,,,,2026-01-14,2026-02-05T13:00:00,,,,,,,,,,,,,,,,,,False,False,False,"[{'Code': 'r5', 'Name': 'Vehicle Laws - Rules of the Road'}]","[{'Code': 'cameras', 'Name': 'Cameras'}, {'Code': 'drivere', 'Name': 'Driver Education'}, {'Code': 'electrcom', 'Name': 'Electronic Communication'}, {'Code': 'electrg', 'Name': 'Electronic Government'}, {'Code': 'essentw', 'Name': 'Essential Workers'}, {'Code': 'evidence', 'Name': 'Evidence'}, {'Code': 'language', 'Name': 'Language -see also- Communications; Literacy'}, {'Code': 'licensp', 'Name': 'License Plates -see also- Motor Vehicle Registration'}, {'Code': 'lowi', 'Name': 'Low-Income'}, {'Code': 'motorva', 'Name': 'Motor Vehicle Administration'}, {'Code': 'motorvreg', 'Name': 'Motor Vehicle Registration'}, {'Code': 'notices', 'Name': 'Notices'}, {'Code': 'penalts', 'Name': 'Penalties and Sentences -see also- Death Penalty'}, {'Code': 'postals', 'Name': 'Postal Service'}, {'Code': 'prices', 'Name': 'Prices -see also- Consumer Price Index'}, {'Code': 'railroads', 'Name': 'Railroads'}, {'Code': 'remotehe', 'Name': 'Remote and Hybrid Education'}, {'Code': 'repeato', 'Name': 'Repeat Offenders'}, {'Code': 'reports', 'Name': 'Reports'}, {'Code': 'rulesr', 'Name': 'Rules and Regulations'}, {'Code': 'schoolb', 'Name': 'School Buses'}, {'Code': 'traffim', 'Name': 'Traffic Monitoring'}, {'Code': 'traffir', 'Name': 'Traffic Regulation'}, {'Code': 'waivers', 'Name': 'Waivers'}]",Pre-Filed,F,,2026 Regular Session,2026-01-20T10:05:07.143
HB0009,,SB0114,Delegate Lopez,"[{'Name': 'Delegate Lopez'}, {'Name': 'Delegate Kerr'}]",Establishing the Maryland 3-1-1 Oversight Board in the Maryland Information Network to oversee the expansion of 3-1-1 systems in Maryland; establishing the 3-1-1 Program to use certain artificial intelligence to answer certain questions and route certain calls in certain counties; and requiring the expansion of the 3-1-1 Program to all of the counties in Maryland after a certain time period.,3-1-1 Systems - Expansion Program and Oversight Board - Establishment,"In the House - First Reading Government, Labor, and Elections","Government, Labor, and Elections",,,,2026-01-14,,,,,,,,,,,,,,,,,,,False,False,False,"[{'Code': 'e4', 'Name': 'Public Safety'}]","[{'Code': 'advertising', 'Name': 'Advertising'}, {'Code': 'artifii', 'Name': 'Artificial Intelligence -see also- Biometrics'}, {'Code': 'awareno', 'Name': 'Awareness and Outreach'}, {'Code': 'commitco', 'Name': 'Committees and Commissions'}, {'Code': 'counties', 'Name': 'Counties -see also- Chartered Counties; Code Counties; etc.'}, {'Code': 'language', 'Name': 'Language -see also- Communications; Literacy'}, {'Code': 'procurement', 'Name': 'Procurement'}, {'Code': 'publici', 'Name': 'Public Information'}, {'Code': 'reports', 'Name': 'Reports'}, {'Code': 'standabp', 'Name': 'Standards and Best Practices'}, {'Code': 'telecommunica', 'Name': 'Telecommunications'}, {'Code': 'telephones', 'Name': 'Telephones'}]",Pre-Filed,F,,2026 Regular Session,2026-01-20T10:05:07.143
HB0010,,SB0064,Delegate Foley,[{'Name': 'Delegate Foley'}],"Establishing certain requirements for the print or digital publication of legal advertisements and notices in counties and municipalities in the State; requiring digital publications that publish a legal advertisement or notice to maintain an archive of all published legal advertisements and legal notices that shall be available to the public; and requiring digital publications that publish a legal advertisement or notice to employ at least one employee whose duties include reporting, writing, or editing local news and information.",Legal Advertisement or Legal Notice - Publication in Newspaper or Newspaper in General Circulation - Digital Newspapers,In the House - Hearing 1/28 at 1:00 p.m.,Judiciary,,,,2026-01-14,2026-01-28T13:00:00,,,,,,,,,,,,,,,,,,False,False,False,"[{'Code': 'l6', 'Name': 'Local Government - Generally'}]","[{'Code': 'advertising', 'Name': 'Advertising'}, {'Code': 'counties', 'Name': 'Counties -see also- Chartered Counties; Code Counties; etc.'}, {'Code': 'courto', 'Name': 'Court Orders'}, {'Code': 'digitap', 'Name': 'Digital Products -see also- Digital Images'}, {'Code': 'dorchec', 'Name': 'Dorchester County'}, {'Code': 'electrcom', 'Name': 'Electronic Communication'}, {'Code': 'electrd', 'Name': 'Electronic Documents'}, {'Code': 'judgments', 'Name': 'Judgments'}, {'Code': 'lawso', 'Name': 'Laws and Ordinances -see also- Pub Local Laws; Uniform Laws'}, {'Code': 'municic', 'Name': 'Municipal Corporations -see also- Annap; Balt'}, {'Code': 'newsm', 'Name': 'News Media'}, {'Code': 'nonproo', 'Name': 'Nonprofit Organizations'}, {'Code': 'notices', 'Name': 'Notices'}, {'Code': 'publications', 'Name': 'Publications -see also- Maryland Register; Textbooks'}, {'Code': 'records', 'Name': 'Records -see also- Land Records; Vital Records'}, {'Code': 'residency', 'Name': 'Residency -see also- Immigrants and Citizenship'}, {'Code': 'time', 'Name': 'Time'}]",Pre-Filed,F,,2026 Regular Session,2026-01-20T10:05:07.143
