YearAndSession,BillNumber,Title,Synopsis,bill_summary,programmatic,program_start_year,program_end_year,funding,responsible_party,stakeholders
2026 Regular Session,HB0001,"Investor-Owned Electric, Gas, and Gas and Electric Companies - Cost Recovery - Limitations","Prohibiting certain public service companies from recovering through rates any costs associated with paying certain employees a bonus unless the employee has a written contract executed by December 31, 2025, or the employee is covered by a valid collective bargaining agreement; prohibiting a certain public service company from recovering through rates any costs associated with a supervisor's annual compensation once the compensation exceeds a certain amount; etc.","This bill prohibits investor-owned electric and gas utility companies from recovering the costs of employee bonuses and high-level supervisor compensation through utility rates, with certain exceptions for existing contracts and collective bargaining agreements. It also requires these companies to adopt policies that limit expenditures on non-essential activities such as entertainment, office renovations, and staff development.",False,2026.0,,,Maryland Public Service Commission and the boards of directors of investor-owned public service companies,"Customers of investor-owned electric and gas companies, utility company employees and supervisors, and investor-owned public service companies."
2026 Regular Session,HB0002,Subtraction Modification - Public Safety Retirement Income,"Increasing, from $15,000 to $20,000, the amount allowed as a subtraction modification under the Maryland income tax for retirement income attributable to an individual's employment as a public safety employee; and applying the Act to all taxable years beginning after December 31, 2025.","This bill increases the Maryland income tax subtraction modification for retirement income received by certain public safety employees from $15,000 to $20,000. The modification applies to retired law enforcement officers, correctional officers, and fire, rescue, or emergency services personnel who are at least 55 years old.",False,2026.0,,,Comptroller of Maryland,"Retired public safety employees including law enforcement officers, correctional officers, and fire, rescue, or emergency services personnel who are at least 55 years of age."
2026 Regular Session,HB0003,Higher Education - Nonresident Tuition - Exemption for Dependents of State or Local Public Safety Employees (Maryland Fallen Heroes Tuition Benefits Act),Exempting financially dependent children of State or local public safety employees who die as a result of or in the course of performance of duties from paying out-of-state or out-of-county tuition at a public institution of higher education in the State.,"The Maryland Fallen Heroes Tuition Benefits Act exempts the financially dependent children of state or local public safety employees who died in the line of duty from paying out-of-state or out-of-county tuition at Maryland public institutions of higher education, regardless of the child's actual state or county of residence.",False,2026.0,,,Maryland Higher Education Commission,"Financially dependent children of deceased Maryland public safety employees, including firefighters, ambulance or rescue squad members, law enforcement officers, correctional officers, and members of the Maryland National Guard."
2026 Regular Session,HB0004,Vehicle Laws – Historic Motor Vehicles – Minimum Age,"Requiring that a motor vehicle be at least 25 years old in order to be eligible for registration as a historic motor vehicle; and requiring the Motor Vehicle Administration to reinstate, under certain circumstances, the historic motor vehicle registration of a motor vehicle that had its historic vehicle registration suspended or revoked as a result of the change to the definition of ""historic motor vehicle"" in Chapter 604 of 2025.","This bill changes the eligibility requirements for registering a vehicle as a historic motor vehicle by defining it as a vehicle that is at least 25 years old, rather than using a specific model year. It also requires the Motor Vehicle Administration to reinstate historic motor vehicle registrations that were suspended or revoked due to definition changes made in 2025 and establishes the registration fee schedule.",False,,,,Motor Vehicle Administration,Owners of historic motor vehicles and the Motor Vehicle Administration
2026 Regular Session,HB0005,Community Development - Maryland New Markets Development Program - Establishment,"Establishing the Maryland New Markets Development Program; requiring the Department of Housing and Community Development to administer the Program; authorizing a credit against the State insurance premium receipts tax and certain State insurance retaliatory taxes, fees, charges, and penalties for certain equity investments in certain community development entities; authorizing the Department to recapture a credit under certain circumstances; limiting the credit amounts that may be issued to $18,750,000 for any taxable year; etc.","This bill establishes the Maryland New Markets Development Program to be administered by the Department of Housing and Community Development. The program provides tax credits against the state insurance premium receipts tax and certain retaliatory taxes for business entities that make qualified equity investments in community development entities, which must then invest those funds into qualified active low-income community businesses located in Maryland.",True,2026.0,,18750000.0,Maryland Department of Housing and Community Development,"Insurance companies, Maryland Qualified Community Development Entities, and businesses located in low-income communities in Maryland."
2026 Regular Session,HB0006,Public Institutions of Higher Education - Pregnant and Parenting Students - Plan and Reporting,Requiring the Maryland Higher Education Commission to collect certain data regarding the parental status of students from each public institution of higher education in the State; requiring public institutions of higher education to collect and report certain demographic data from students; and requiring all public institutions of higher education to adopt a certain plan for pregnant and parenting students.,"This bill requires the Maryland Higher Education Commission to collect and report data regarding the parental status of students at public higher education institutions. It also mandates that these institutions adopt and publish plans to provide pregnant and parenting students with access to referral networks for healthcare, government assistance programs, and institutional accommodations.",True,2026.0,,,Maryland Higher Education Commission and public institutions of higher education,Pregnant and parenting students at public institutions of higher education in Maryland
2026 Regular Session,HB0007,"State Board of Examiners for Audiologists, Hearing Aid Dispensers, Speech-Language Pathologists, and Music Therapists - Authority to Issue Limited Licenses to Practice Music Therapy","Authorizing the State Board of Examiners for Audiologists, Hearing Aid Dispensers, Speech-Language Pathologists, and Music Therapists to issue a limited license to practice music therapy; providing the purpose of the limited license is to permit an individual to practice music therapy while completing certain licensing requirements; and allowing a licensee with a limited license to practice music therapy under the supervision of a fully licensed music therapist.","This bill authorizes the State Board of Examiners for Audiologists, Hearing Aid Dispensers, Speech–Language Pathologists, and Music Therapists to issue limited licenses to individuals practicing music therapy. A limited license allows an applicant who has met all requirements except the examination to practice under the supervision of a fully licensed music therapist for a one-year term, renewable once. The bill establishes application procedures, fees, and requirements for these limited licenses.",False,2026.0,,,"State Board of Examiners for Audiologists, Hearing Aid Dispensers, Speech–Language Pathologists, and Music Therapists","Prospective music therapists, licensed music therapists, and the State Board of Examiners for Audiologists, Hearing Aid Dispensers, Speech–Language Pathologists, and Music Therapists"
2026 Regular Session,HB0008,Vehicle Laws - Dangerous Driver Abatement Program - Establishment (Dangerous Driver Accountability Act),Establishing the Dangerous Driver Abatement Program; establishing the purpose of the Program is to reduce motor vehicle-related deaths by requiring repeat offenders to complete a driver accountability and safety course or be subject to sanctions; requiring the Motor Vehicle Administration to administer the Program and provide a certain notice to repeat offenders; requiring a repeat offender to successfully complete a certain course within 90 days after receiving the notice; etc.,"This bill establishes the Dangerous Driver Abatement Program, administered by the Motor Vehicle Administration (MVA). It requires 'repeat offenders'—drivers who accumulate multiple violations via automated systems like speed cameras, red-light cameras, and school bus cameras within a 12-month period—to complete an approved driver accountability and safety course. Failure to complete the course within 90 days results in the suspension of vehicle registration renewals, and non-compliance after 180 days may lead to vehicle impoundment. The bill also provides fee waivers for low-income individuals and a hardship appeal process for essential workers.",True,2026.0,,,Maryland Motor Vehicle Administration (MVA),"Motor vehicle owners with multiple automated traffic violations, low-income drivers, essential workers, and the general public."
2026 Regular Session,HB0009,3-1-1 Systems - Expansion Program and Oversight Board - Establishment,Establishing the Maryland 3-1-1 Oversight Board in the Maryland Information Network to oversee the expansion of 3-1-1 systems in Maryland; establishing the 3-1-1 Program to use certain artificial intelligence to answer certain questions and route certain calls in certain counties; and requiring the expansion of the 3-1-1 Program to all of the counties in Maryland after a certain time period.,"This bill establishes the Maryland 3-1-1 Oversight Board and a 3-1-1 Program to modernize and expand nonemergency community information and referral systems across the state. The program will implement artificial intelligence technologies, including chatbots and voicebots, to answer public inquiries and route calls to appropriate government services. The initiative begins with a pilot phase in four counties and requires full statewide expansion by July 1, 2028.",True,2026.0,,,Maryland 3-1-1 Oversight Board,Maryland residents and local county governments
2026 Regular Session,HB0010,Legal Advertisement or Legal Notice - Publication in Newspaper or Newspaper in General Circulation - Digital Newspapers,"Establishing certain requirements for the print or digital publication of legal advertisements and notices in counties and municipalities in the State; requiring digital publications that publish a legal advertisement or notice to maintain an archive of all published legal advertisements and legal notices that shall be available to the public; and requiring digital publications that publish a legal advertisement or notice to employ at least one employee whose duties include reporting, writing, or editing local news and information.","This bill expands the definition of a newspaper or newspaper in general circulation for the publication of legal advertisements and notices to include digital publications. It establishes specific criteria for digital newspapers to qualify, including requirements for original content production, staffing of local residents, minimum publication frequency, and public archiving of notices.",False,2026.0,,,Maryland counties and municipalities,"Digital and print news organizations, Maryland residents, county and municipal governments, and legal parties required to publish public notices"
