Type,Name,YouTube channel,Webpage
House Committee,Appropriations,https://www.youtube.com/@mga-app8026,https://mgaleg.maryland.gov/mgawebsite/Committees/Details?cmte=app
House Committee,Economic Matters,https://www.youtube.com/@mga-ecm6367,https://mgaleg.maryland.gov/mgawebsite/Committees/Details?cmte=ecm
House Committee,Environment and Transportation,https://www.youtube.com/@mga-ent2368,https://mgaleg.maryland.gov/mgawebsite/Committees/Details?cmte=ent
House Committee,"Government, Labor, and Elections",https://www.youtube.com/@mga-gvc2536,https://mgaleg.maryland.gov/mgawebsite/Committees/Details?cmte=gvc
House Committee,Health,https://www.youtube.com/@mga-hlt2698,https://mgaleg.maryland.gov/mgawebsite/Committees/Details?cmte=hlt
House Committee,Rules and Executive Nominations,https://www.youtube.com/@mga-hru3883,https://mgaleg.maryland.gov/mgawebsite/Committees/Details?cmte=hru
House Committee,Judiciary,https://www.youtube.com/@mga-jud9614,https://mgaleg.maryland.gov/mgawebsite/Committees/Details?cmte=jud
House Committee,Ways and Means Committee,https://www.youtube.com/@mga-wm8116,https://mgaleg.maryland.gov/mgawebsite/Committees/Details?cmte=w%26m
Senate Committee,Senate,https://www.youtube.com/@mga-session-senate445,https://mgaleg.maryland.gov/mgawebsite/
Senate Committee,Budget and Taxation,https://www.youtube.com/@mga-bt5827,https://mgaleg.maryland.gov/mgawebsite/Committees/Details?cmte=b%26t
Senate Committee,"Education, Energy, and the Environment",https://www.youtube.com/@mga-eee1773,https://mgaleg.maryland.gov/mgawebsite/Committees/Details?cmte=eee
Senate Committee,Executive Nominations,https://www.youtube.com/@mga-exn82,https://mgaleg.maryland.gov/mgawebsite/Committees/Details?cmte=exn
Senate Committee,Finance,https://www.youtube.com/@mga-fin9827,https://mgaleg.maryland.gov/mgawebsite/Committees/Details?cmte=fin
Senate Committee,Judicial Proceedings,https://www.youtube.com/@mga-jpr6516,https://mgaleg.maryland.gov/mgawebsite/Committees/Details?cmte=jpr
Senate Committee,Rules,https://www.youtube.com/@mga-sru2426,https://mgaleg.maryland.gov/mgawebsite/Committees/Details?cmte=sru
Senate Committee,"Select Committee No. 1 - Allegany, Garrett, and Washington Counties",https://www.youtube.com/@mga-senateother6127,https://mgaleg.maryland.gov/mgawebsite/Committees/Details?cmte=s01
Senate Committee,Select Committee No. 2 - Carroll and Frederick Counties,https://www.youtube.com/@mga-senateother6127,https://mgaleg.maryland.gov/mgawebsite/Committees/Details?cmte=s02
Senate Committee,Select Committee No. 3 - Harford County,https://www.youtube.com/@mga-senateother6127,https://mgaleg.maryland.gov/mgawebsite/Committees/Details?cmte=s03
Senate Committee,Select Committee No. 4 - Baltimore County,https://www.youtube.com/@mga-senateother6127,https://mgaleg.maryland.gov/mgawebsite/Committees/Details?cmte=s04
Senate Committee,Select Committee No. 5 - Howard County,https://www.youtube.com/@mga-senateother6127,https://mgaleg.maryland.gov/mgawebsite/Committees/Details?cmte=s05
Senate Committee,Select Committee No. 6 - Montgomery County,https://www.youtube.com/@mga-senateother6127,https://mgaleg.maryland.gov/mgawebsite/Committees/Details?cmte=s06
Senate Committee,Select Committee No. 7 - Prince George's County,https://www.youtube.com/@mga-senateother6127,https://mgaleg.maryland.gov/mgawebsite/Committees/Details?cmte=s07
Senate Committee,"Select Committee No. 8 - Charles, St. Mary's, and Calvert Counties",https://www.youtube.com/@mga-senateother6127,https://mgaleg.maryland.gov/mgawebsite/Committees/Details?cmte=s08
Senate Committee,Select Committee No. 9 - Anne Arundel County,https://www.youtube.com/@mga-senateother6127,https://mgaleg.maryland.gov/mgawebsite/Committees/Details?cmte=s09
Senate Committee,Select Committee No. 10 - Eastern Shore,https://www.youtube.com/@mga-senateother6127,https://mgaleg.maryland.gov/mgawebsite/Committees/Details?cmte=s10
Senate Committee,Select Committee No. 11 - Baltimore City,https://www.youtube.com/@mga-senateother6127,https://mgaleg.maryland.gov/mgawebsite/Committees/Details?cmte=s11
