Agency Name,URL,Summary
Governor's Office,https://governor.maryland.gov/,"The Maryland Governor's Office serves as the principal executive agency of the state government, led by the Governor as Maryland’s chief executive. Its primary responsibilities include enforcing state laws, signing or vetoing legislation passed by the General Assembly, and overseeing the operations of all state departments and agencies. For Maryland residents, the office performs vital functions such as drafting the state’s annual budget, managing the Board of Public Works to approve state spending, and appointing qualified individuals to judicial, civil, and military posts. Additionally, the office acts as a direct link for constituents through its ""Coordinating Offices,"" which facilitate community engagement, resolve issues with state agencies, and spearhead statewide initiatives aimed at improving public safety, child well-being, and economic opportunity."
Lt. Governor,https://governor.maryland.gov/Pages/biography.aspx,"The **Office of the Lieutenant Governor** serves as the second-highest executive authority in Maryland, primarily functioning as the immediate successor to the Governor in the event of a vacancy or disability. Unlike many states where the role has fixed legislative duties, the Maryland Lieutenant Governor’s responsibilities are largely defined by the Governor’s delegation. The office performs a wide range of administrative and advocacy work for residents, including advising the Governor on policy, representing the state at official functions, and chairing critical task forces and commissions. Currently, the office leads significant statewide initiatives focused on public safety, transportation, mental health, and STEM equity, while also managing interfaith outreach and coordinating the state’s response to the opioid crisis."
Comptroller of Maryland,https://www.marylandtaxes.gov/,"The **Comptroller of Maryland** serves as the state’s elected chief financial officer, acting as the independent ""tax collector"" and fiscal watchdog for Maryland's government. The agency's primary responsibilities include collecting state revenues—such as individual and corporate income taxes, sales and use taxes, and motor fuel taxes—and managing the state’s central payroll for over 100,000 employees. For Maryland residents, the office performs essential services by processing tax refunds, administering key credits like the Earned Income Tax Credit, overseeing the return of unclaimed property, and issuing various business licenses. Additionally, the Comptroller sits on the Board of Public Works to approve major state contracts and provides critical economic forecasting and financial reporting to ensure the state’s long-term fiscal health."
Maryland State Treasurer's Office,https://www.treasurer.state.md.us/,"The Maryland State Treasurer's Office (STO) serves as the principal custodian of the state’s financial assets, responsible for the management, protection, and investment of all public funds. Its primary responsibilities include overseeing the state’s banking services, managing the investment of excess cash, and conducting the sale of general obligation bonds to fund capital projects like schools and hospitals. Additionally, the office acts as the state’s internal insurance company, providing risk management and insurance coverage for state property and employees. For Maryland residents, the agency performs vital work by safeguarding taxpayer dollars through prudent fiscal management, administering the **Maryland 529** college savings program, and ensuring the state maintains a high credit rating to minimize borrowing costs. The Treasurer also holds a key seat on the Board of Public Works, influencing major state procurement and policy decisions that directly impact the quality of life and infrastructure across Maryland."
Office of the Attorney General,https://www.marylandattorneygeneral.gov/,"The **Maryland Office of the Attorney General (OAG)** serves as the chief legal office for the State, acting as the primary legal advisor and representative for the Governor, the General Assembly, the Judiciary, and nearly all state agencies. Its primary responsibility is to uphold the rule of law and protect the public interest by providing expert legal counsel and managing all civil and criminal appeals in both state and federal courts. For Maryland residents, the agency performs critical advocacy work through its dedicated divisions, which include enforcing consumer protection, antitrust, and securities laws to prevent fraud and unfair business practices. Additionally, the OAG investigates and prosecutes complex crimes such as Medicaid fraud, white-collar corruption, and environmental violations, while also overseeing independent investigations into police-involved fatalities to ensure transparency and justice."
Department of Aging,https://aging.maryland.gov/,"The **Maryland Department of Aging (MDOA)** is the state agency responsible for advocating for, and providing services to, Maryland’s older adults, individuals with disabilities, and their caregivers. Its primary mission is to prepare the state's infrastructure for an expanding 60+ population by promoting independence and providing equitable access to essential resources. Working through a statewide network of 19 local **Area Agencies on Aging**, the department oversees a diverse range of programs, including the **Maryland Access Point (MAP)** for information and referrals, the **Senior Health Insurance Assistance Program (SHIP)** for Medicare counseling, and various nutrition and wellness initiatives like Meals on Wheels. Additionally, the MDOA performs critical protection and advocacy work through the **Long-Term Care Ombudsman** program, elder abuse prevention efforts, and public guardianship services, all aimed at helping Maryland residents age with dignity in their own communities."
Department of Agriculture,https://mda.maryland.gov/,"The **Maryland Department of Agriculture (MDA)** is the state agency responsible for promoting, protecting, and regulating Maryland’s agricultural industry and natural resources. Its primary mission is to ensure the economic viability of agriculture while fostering environmental stewardship and consumer safety. The MDA’s work is categorized into four main areas: **Consumer Protection**, where it inspects gas pumps and grocery scales for accuracy; **Resource Conservation**, which involves managing nutrient runoff and preserving farmland; **Plant and Animal Health**, covering programs such as mosquito control, pesticide regulation, and animal disease monitoring; and **Marketing**, through initiatives like ""Maryland’s Best"" that connect residents with local farmers and seafood producers. For Maryland residents, the agency acts as a safeguard for the food supply and the environment while supporting the local economy through agricultural business development and public education."
Department of Budget and Management,https://dbm.maryland.gov/,"The Maryland Department of Budget and Management (DBM) serves as the state’s central fiscal and personnel authority, ensuring that the executive branch operates efficiently, transparently, and with fiscal accountability. Its primary responsibilities include formulating and overseeing the Governor’s annual operating budget, estimating state revenues, and managing the statewide personnel system for Maryland's workforce. For Maryland residents, the DBM acts as a steward of public funds, working to allocate taxpayer resources effectively so that essential services—such as education, public safety, and healthcare—are properly funded at the lowest possible cost. Additionally, the agency performs management audits to eliminate government waste and maintains a fair, equitable merit system for the thousands of state employees who provide direct services to the public."
Department of Commerce,https://commerce.maryland.gov/,"The Maryland Department of Commerce is the state's primary economic development agency, dedicated to stimulating private investment and fostering job creation across the region. Its primary responsibilities include attracting new businesses to Maryland, supporting the expansion of existing companies, and promoting the state as a premier destination for international trade and tourism. For Maryland residents, the agency performs vital work by providing workforce training programs, offering financial assistance and tax credits to small businesses and entrepreneurs, and marketing local products and services. By coordinating diverse sectors—ranging from biohealth and cybersecurity to film and the arts—the Department of Commerce works to strengthen the state's economy and improve the overall quality of life for all Marylanders."
Department of Disabilities,https://mdod.maryland.gov/Pages/Home.aspx,"The **Maryland Department of Disabilities (MDOD)** is a cabinet-level state agency responsible for coordinating and improving the delivery of services to Maryland residents with disabilities. Unlike agencies that focus on a single type of disability, MDOD serves as a cross-disability policy leader, working collaboratively with all other state government entities to ensure their programs provide equal access, choice, and independence. The agency’s primary responsibilities include advocating for the rights of individuals with disabilities and guiding state policy in critical areas such as **accessible housing, employment, transportation, assistive technology, and transitioning youth services**. By focusing on community-based living and barrier-free environments, MDOD works to ensure that Marylanders with disabilities can fully participate in the state’s economy and lead fulfilling, integrated lives within their communities."
Department of Education,https://www.marylandpublicschools.org/pages/default.aspx,"The **Maryland State Department of Education (MSDE)** is the primary state agency responsible for overseeing Maryland's public K-12 education system, early childhood programs, and vocational rehabilitation services. Working in tandem with the Maryland State Board of Education, the MSDE sets statewide academic standards, establishes high school graduation requirements, and administers the certification process for teachers and professional school staff. Beyond the classroom, the agency performs critical services for Maryland residents by managing the state’s public library system, regulating over 7,000 child care providers, and offering specialized support through its Division of Rehabilitation Services, which helps individuals with disabilities achieve employment. Currently, the MSDE is focused on implementing the ""Blueprint for Maryland’s Future,"" a landmark policy initiative designed to enhance educational equity and ensure every student is prepared for success in college and their future careers."
Department of Emergency Management,https://mdem.maryland.gov/,"The **Maryland Department of Emergency Management (MDEM)** is the cabinet-level state agency responsible for protecting Maryland residents from both natural and man-made disasters. Formerly known as the Maryland Emergency Management Agency (MEMA), it serves as the state’s primary authority for disaster preparedness, hazard mitigation, incident response, and long-term recovery efforts. MDEM coordinates the state’s response to large-scale emergencies that exceed the capabilities of local jurisdictions—such as hurricanes, floods, or public health crises—while providing continuous situational awareness through the 24/7 Maryland Joint Operations Center. For Maryland residents, the agency performs critical work by managing public alert systems (like the MdReady app), educating families on disaster planning, administering federal relief funds for community recovery, and overseeing the state’s 9-1-1 system to ensure rapid emergency communication. Its overarching mission is to build statewide resilience by delivering the financial, technical, and physical resources necessary to minimize the loss of life and property."
Department of the Environment,https://www.mde.maryland.gov/,"The **Maryland Department of the Environment (MDE)** is the state’s primary regulatory agency tasked with protecting and restoring Maryland's air, water, and land resources to safeguard public health and the environment. Its primary responsibilities include enforcing state and federal environmental laws, issuing pollution control permits, and overseeing the safety of public drinking water systems. For Maryland residents, the MDE performs vital work by monitoring air quality, managing the cleanup of hazardous waste sites, administering lead poisoning prevention programs, and providing financial assistance to communities for critical infrastructure improvements like wastewater treatment plants. Additionally, the agency leads the state’s climate change initiatives and provides emergency response for environmental hazards such as oil spills and chemical leaks, ensuring a healthier and more sustainable environment for all citizens."
Department of General Services,https://dgs.maryland.gov/,"The **Maryland Department of General Services (DGS)** serves as the central operations and support agency for the state government, tasked with managing the infrastructure and business logistics necessary for Maryland to function efficiently. Its primary responsibilities include the design, construction, and maintenance of state-owned facilities, as well as the management of real estate leases and the procurement of goods and services for state and local agencies. For Maryland residents, DGS ensures that public buildings—including the State House and various multi-agency centers—are safe, secure, and energy-efficient. Additionally, the agency manages the Maryland Capitol Police, oversees the disposition of surplus property, and promotes economic growth by facilitating opportunities for small and minority-owned businesses to compete for state contracts, ultimately ensuring that taxpayer dollars are spent responsibly through streamlined and transparent operations."
Department of Health,https://health.maryland.gov/,"The Maryland Department of Health (MDH) is the state agency responsible for protecting and promoting the health and safety of all Maryland residents through public health services, healthcare financing, and regulatory oversight. Its primary responsibilities include administering the state’s Medicaid program to provide low-income residents with medical coverage, managing behavioral health services for mental health and substance use disorders, and coordinating disease prevention initiatives such as immunizations and infectious disease control. Additionally, the MDH oversees the licensing and certification of healthcare facilities, maintains vital records like birth and death certificates, and directs the activities of Maryland’s 24 local health departments. Through these diverse functions, the agency works to ensure equitable access to quality care, maintain community health standards, and respond to public health emergencies across the state."
Department of Housing and Community,https://dhcd.maryland.gov/,"The **Maryland Department of Housing and Community Development (DHCD)** is the state agency dedicated to expanding access to affordable housing and fostering the revitalization of neighborhoods across Maryland. Its primary responsibilities include financing the construction and preservation of affordable rental units, providing low-interest mortgages and down payment assistance to first-time homebuyers, and administering federal rental subsidies to low-income families. For Maryland residents, the DHCD performs critical work by managing programs for homelessness prevention, offering weatherization and energy conservation aid to reduce utility costs, and funding the rehabilitation of blighted or commercial areas to stimulate local economic growth. Through its various divisions, the agency works to ensure that all citizens—including the elderly, individuals with disabilities, and those in underserved communities—have access to safe, decent, and sustainable housing opportunities."
Department of Human Services,https://dhs.maryland.gov/,"The **Maryland Department of Human Services (DHS)** is the state’s primary social service provider, serving over one million residents annually through its 24 local departments. The agency is responsible for delivering essential economic assistance, including help with buying healthy food (SNAP), paying energy bills, and determining financial eligibility for medical assistance. Beyond financial aid, DHS performs critical protective work by overseeing child and adult welfare services to ensure stable and safe environments for vulnerable individuals. The agency also manages the Child Support Administration, which facilitates the collection and distribution of support payments to ensure children receive the financial resources they need from their parents."
Department of Information Technology,https://doit.maryland.gov/,"The **Maryland Department of Information Technology (DoIT)** is the primary executive agency responsible for establishing the strategic direction and policy for information technology across state government. Its primary responsibilities include managing the state’s IT infrastructure and telecommunications, enforcing cybersecurity standards through the State Information Security Policy, and serving as a central procurement unit for IT equipment and services. For Maryland residents, DoIT performs critical work by modernizing digital government services to ensure they are accessible, secure, and user-friendly. This includes managing statewide broadband initiatives to increase connectivity, overseeing the digital accessibility of state websites for people with disabilities, and safeguarding resident data from cyber threats, all of which aim to make government interactions more efficient and productive."
Department of Juvenile Services,https://djs.maryland.gov/,"The **Maryland Department of Juvenile Services (DJS)** is a cabinet-level executive agency responsible for the management, supervision, and rehabilitation of youth involved in the state’s juvenile justice system. Its primary responsibilities include conducting intake assessments for youth referred by law enforcement, overseeing community-based supervision and probation, and operating secure detention facilities for those deemed a risk to themselves or public safety. The agency performs critical work for Maryland residents by balancing public safety with rehabilitative care, providing individualized treatment plans that include mental health services, substance abuse counseling, and educational support. Through a focus on restorative justice and community partnerships, DJS aims to reduce recidivism, support family engagement, and successfully reintegrate youth into society as productive citizens."
Department of Labor,https://www.labor.maryland.gov/,"The Maryland Department of Labor is a state executive agency dedicated to protecting and promoting the economic welfare of Maryland residents through diverse regulatory and service-oriented programs. The agency is primarily responsible for administering the state’s **unemployment insurance** system, providing temporary financial assistance to those out of work, and overseeing **workforce development** initiatives that include job training, apprenticeship programs, and adult education (such as GED testing). Beyond employment services, the department performs critical safety and regulatory functions, including the enforcement of **occupational safety and health (MOSH)** standards, the inspection of public equipment like elevators and amusement rides, and the **licensing** of dozens of professional trades ranging from HVAC contractors to barbers. Additionally, the agency encompasses the **Office of Financial Regulation**, which protects consumers by supervising the state’s financial services industry, and the **Division of Racing**, ensuring the integrity of Maryland’s horse racing operations."
Department of Natural Resources,https://dnr.maryland.gov/,"The Maryland Department of Natural Resources (DNR) is the primary state agency responsible for the preservation, protection, and management of Maryland’s land, water, and living resources. Its core responsibilities include overseeing more than 500,000 acres of public lands—including state parks and forests—and managing over 17,000 miles of waterways to ensure healthy terrestrial and aquatic ecosystems. The agency leads major conservation efforts, such as the restoration of the Chesapeake Bay, while its Natural Resources Police (NRP) provides statewide law enforcement for hunting, fishing, and boating safety. For Maryland residents, the DNR performs vital work by maintaining diverse outdoor recreational spaces, regulating sustainable wildlife populations and timber industries, and conducting search and rescue operations on state waters to ensure public safety."
Department of Planning,https://planning.maryland.gov/,"The **Maryland Department of Planning (MDP)** is a cabinet-level executive agency responsible for coordinating the state’s land use, sustainable growth, and resource conservation efforts. Its primary mission is to ensure the vitality of Maryland’s communities by providing technical assistance, policy guidance, and data analysis to local governments, businesses, and residents. MDP is organized into three main functional areas: **Planning Services**, which supports counties and municipalities with urban design, infrastructure management, and comprehensive planning; **Historical and Cultural Programs**, which oversees the **Maryland Historical Trust** to preserve the state’s archaeological and historic sites; and **Operations**, which manages vital demographic and economic research used for state initiatives like congressional redistricting. For Maryland residents, the agency performs critical work in protecting natural and cultural assets, maintaining the **Maryland InfoPortal** for state assistance programs, and implementing ""smart growth"" strategies that balance economic development with environmental stewardship."
Department of Public Safety and Correctional Services,https://dpscs.maryland.gov/,"The **Maryland Department of Public Safety and Correctional Services (DPSCS)** is a cabinet-level executive agency responsible for enhancing public safety through the management of Maryland’s adult correctional system, pretrial detention, and community supervision. Its primary responsibilities include operating state prisons and pre-release centers, overseeing the **Division of Parole and Probation**, and managing pretrial facilities such as the Baltimore Pretrial Complex. For Maryland residents, the agency performs vital work by securing incarcerated individuals, providing rehabilitation and restorative justice programs—such as vocational training and substance abuse treatment—to reduce recidivism, and maintaining the state’s **Criminal Justice Information System (CJIS)**. Additionally, DPSCS oversees public works projects performed by offenders that save taxpayer dollars and provides essential support services to victims of crime."
